id;date;time;trigger;fatalities;injuries;location_description;location_accuracy;landslide_size;population;countrycode;geolocation
6940;19.06.2015;;Continuous_rain;0;0;Natural_slope;Known_within_1km;Medium;6900;US;(38.7714, -104.8574)
6953;18.06.2015;;;0;0;Above_road;Known_within_5km;Small;1432;US;(40.481000000000002, -79.880099999999999)
6954;18.06.2015;06:45;Tropical_Cyclone;0;0;Above_road;Exact_Location;Small;2683;US;(34.440600000000003, -97.128)
6943;17.06.2015;;Continuous_rain;0;0;Below_road;Known_within_5km;Small;3010;CR;(10.44, -84.608900000000006)
6957;16.06.2015;;Continuous_rain;0;0;Above_road;Known_within_1km;Small;20978;US;(40.331499999999998, -78.925299999999993)
6956;16.06.2015;morning;Continuous_rain;0;0;Natural_slope;Known_within_1km;Small;3684;US;(35.713099999999997, -93.8001)
7468;13.06.2015;afternoon;Downpour;0;1;Urban_area;Known_within_5km;Medium;1121;HN;(14.059200000000001, -87.155000000000001)
6986;13.06.2015;13:00;Rain;0;0;Above_road;Known_within_10km;Medium;1972;CO;(2.8696000000000002, -76.303399999999996)
7477;12.06.2015;;Rain;0;0;Above_road;Unknown;Medium;1902;NI;(12.5769, -86.041799999999995)
7448;11.06.2015;;Rain;0;0;Above_road;Known_within_5km;Medium;1164;HN;(13.5807, -86.9101)
7478;10.06.2015;night;Rain;0;38;Deforested_slope;Known_within_5km;Small;6315;NI;(13.9719, -84.670100000000005)
6960;10.06.2015;;Continuous_rain;0;0;Below_road;Known_within_1km;Medium;23330;US;(33.290700000000001, -87.550600000000003)
7443;09.06.2015;;Unknown;0;0;Above_road;Known_within_15km;Medium;1160;HN;(13.961600000000001, -86.563000000000002)
7412;06.06.2015;;Rain;0;0;Above_road;Known_within_25km;Medium;28492;GT;(14.4236, -90.479200000000006)
7453;05.06.2015;afternoon;Downpour;0;0;Above_road;Known_within_10km;Medium;0;PA;(9.1805000000000003, -79.089600000000004)
7052;19.05.2015;;Continuous_rain;0;0;Above_road;Known_within_10km;Medium;3582;US;(38.551400000000001, -105.0973)
7019;30.05.2015;afternoon;Continuous_rain;0;0;natural_slope;Exact_Location;Small;112488;US;(40.250599999999999, -111.6324)
7046;23.05.2015;;Flooding;0;0;Unknown;Known_within_5km;Small;1114;US;(34.520800000000001, -95.285899999999998)
7054;20.05.2015;;Unknown;0;0;Above_road;Known_within_5km;Small;2139;US;(37.122999999999998, -82.795299999999997)
7053;19.05.2015;;Continuous_rain;0;0;Below_road;Known_within_10km;Medium;3582;US;(38.552599999999998, -105.09480000000001)
7056;17.05.2015;;Rain;0;0;Urban_area;Known_within_1km;Medium;1173;MX;(32.519599999999997, -117.0898)
7060;13.05.2015;;Continuous_rain;0;0;Natural_slope;Exact_Location;Small;6680;US;(38.921799999999998, -104.8365)
7465;13.05.2015;;Construction;0;0;Urban_area;Known_within_5km;Medium;652136;MX;(16.898900000000001, -99.9452)
7064;10.05.2015;;Downpour;0;0;Above_road;Known_within_10km;Small;1012;US;(35.500799999999998, -93.682100000000005)
7065;09.05.2015;12:20;Unknown;0;0;Natural_slope;Exact_Location;Small;3744;US;(40.484900000000003, -80.012799999999999)
7513;09.05.2015;;Downpour;0;0;Above_road;Known_within_25km;Medium;4811;CO;(7.1106999999999996, -76.408900000000003)
7434;04.05.2015;13:32;Unknown;0;0;Above_road;Known_within_50km;Medium;11121;GT;(14.2202, -91.226399999999998)
6994;29.04.2015;;Continuous_rain;0;0;Natural_slope;Known_within_1km;Medium;12088;US;(40.480200000000004, -106.83929999999999)
7120;27.04.2015;;Unknown;0;0;Above_road;Known_within_1km;Small;4456;US;(37.268500000000003, -83.208200000000005)
7124;20.04.2015;;Construction;0;0;Above_river;Known_within_1km;Medium;8195;US;(42.6404, -73.821600000000004)
7129;20.04.2015;;Continuous_rain;0;0;Above_river;Known_within_5km;Small;9486;US;(30.427299999999999, -88.880700000000004)
