Stop;Longitude;Latitude;Ort
509;9,29977;48,89527;
510;9,29945;48,89533;
511;9,29921;48,89535;
512;9,29867;48,89544;
513;9,29812;48,89561;
514;9,29691;48,89631;
515;9,29669;48,8964;
516;9,29646;48,89647;
517;9,29552;48,89662;
518;9,29476;48,89684;
519;9,29407;48,89719;
520;9,29396;48,89726;
521;9,29375;48,89743;
522;9,29458;48,89818;
523;9,29451;48,89823;
524;9,29435;48,89829;
525;9,29329;48,8984;
526;9,29319;48,89843;
527;9,29299;48,89854;
528;9,29253;48,89892;
529;9,29223;48,89912;
530;9,29187;48,89924;
531;9,29067;48,89956;
532;9,29058;48,8996;
533;9,29018;48,89984;
534;9,28995;48,89992;
535;9,28905;48,90007;
536;9,28845;48,90026;
537;9,2885;48,90103;
538;9,28848;48,90149;
539;9,28834;48,90198;
540;9,28815;48,90236;
541;9,28675;48,90382;
542;9,28577;48,90543;
543;9,28538;48,90599;
544;9,28528;48,90617;
545;9,28528;48,90625;
546;9,28524;48,90648;
547;9,285;48,90732;
548;9,28477;48,9076;
549;9,28461;48,90773;
550;9,28394;48,90811;
551;9,28286;48,90891;
552;9,28265;48,90902;
553;9,28245;48,90907;
554;9,28272;48,9189;
555;9,28287;48,92067;
556;9,28284;48,92074;
557;9,28228;48,92076;
558;9,28204;48,92079;
559;9,27548;48,92228;
560;9,27163;48,92275;
561;9,27135;48,92433;
562;9,27032;48,92459;
563;9,27026;48,92463;
564;9,2702;48,9247;
565;9,27012;48,92486;
566;9,27017;48,92491;
567;9,27022;48,92503;
568;9,27016;48,92515;
569;9,27013;48,92518;
570;9,27004;48,92522;
571;9,26986;48,92525;
572;9,26962;48,92524;
573;9,26932;48,92556;
574;9,26917;48,92567;
575;9,26852;48,92605;
576;9,2684;48,92614;
577;9,26812;48,92642;
578;9,26801;48,92661;
579;9,26796;48,92681;
580;9,26795;48,927;
581;9,26802;48,9284;
582;9,268;48,92861;
583;9,26788;48,92881;
584;9,26774;48,92899;
585;9,26747;48,92924;
586;9,26724;48,92949;
587;9,26707;48,92971;
588;9,26688;48,93001;
589;9,26664;48,93054;
590;9,26643;48,93109;
591;9,2663;48,93124;
592;9,26605;48,93142;
593;9,26569;48,9316;
594;9,26483;48,93193;
595;9,26487;48,93199;
596;9,26487;48,932;
597;9,26488;48,93201;
598;9,26488;48,93203;
599;9,26487;48,93204;
600;9,26487;48,93205;
601;9,26482;48,93211;
602;9,26478;48,93213;
603;9,26476;48,93213;
604;9,26474;48,93214;
605;9,26464;48,93214;
606;9,26463;48,93213;
607;9,26457;48,93211;
608;9,26417;48,93238;
609;9,26276;48,93321;
610;9,26243;48,93345;
611;9,26223;48,93366;
612;9,26159;48,93464;
613;9,26157;48,93476;
614;9,26133;48,93513;
615;9,26079;48,93584;
616;9,26044;48,93622;
617;9,26019;48,93644;
618;9,25907;48,9373;
619;9,25871;48,93762;
620;9,25864;48,9377;
621;9,25856;48,93783;
622;9,25852;48,93798;
623;9,25852;48,93807;
624;9,25854;48,93815;
625;9,2586;48,93827;
626;9,25771;48,93835;
627;9,25758;48,93838;
628;9,25753;48,93841;
629;9,2575;48,93847;
630;9,25743;48,93868;
631;9,25733;48,93925;
632;9,25651;48,93936;
633;9,25603;48,93948;
634;9,25565;48,93963;
635;9,25555;48,93963;
636;9,25541;48,93959;
637;9,25535;48,93964;
638;9,25532;48,9397;
639;9,25512;48,93964;
640;9,25495;48,93966;
641;9,25472;48,93989;
642;9,2546;48,9401;
643;9,25433;48,94101;
644;9,25431;48,94127;
645;9,25443;48,94206;
646;9,2544;48,94211;
647;9,25434;48,94217;
648;9,25404;48,94239;
649;9,254;48,94245;
650;9,25393;48,9426;
651;9,25389;48,94264;
652;9,25379;48,94267;
653;9,25363;48,94308;
654;9,25355;48,94314;
655;9,25267;48,94494;
656;9,25253;48,94529;
657;9,25248;48,94555;
658;9,25245;48,94584;
659;9,25251;48,94624;
660;9,25252;48,94643;
661;9,25247;48,94658;
662;9,25229;48,94677;
663;9,25201;48,94701;
664;9,25167;48,94735;
665;9,2515;48,94758;
666;9,25151;48,94766;
667;9,25146;48,94775;
668;9,25137;48,948;
669;9,25131;48,94823;
670;9,25127;48,9485;
671;9,25119;48,94868;
672;9,25109;48,94935;
673;9,25095;48,94985;
674;9,2508;48,95016;
675;9,25033;48,95096;
676;9,25019;48,95133;
677;9,25008;48,9517;
678;9,25003;48,95208;
679;9,25003;48,95251;
680;9,25021;48,95261;
681;9,25028;48,95268;
682;9,25037;48,95282;
683;9,25065;48,95342;
684;9,25068;48,9536;
685;9,25085;48,95384;
686;9,25135;48,95444;
687;9,25147;48,95456;
688;9,25231;48,95563;
689;9,2528;48,95605;
690;9,25286;48,95615;
691;9,25277;48,95628;
692;9,25273;48,9564;
693;9,25271;48,95652;
694;9,25271;48,95696;
695;9,25274;48,95736;
696;9,25272;48,9575;
697;9,25262;48,95769;
698;9,25252;48,95783;
699;9,25239;48,95797;
700;9,2522;48,95797;
701;9,25218;48,95808;
702;9,25219;48,9582;
703;9,25222;48,95832;
704;9,25229;48,95846;
705;9,25182;48,95841;
706;9,25175;48,95856;
707;9,25153;48,95884;
708;9,25152;48,95888;
709;9,25138;48,95915;
710;9,25128;48,95941;
711;9,25127;48,9595;
712;9,25122;48,95964;
713;9,25122;48,96021;
714;9,25127;48,96062;
715;9,25127;48,96095;
716;9,25124;48,9611;
717;9,2511;48,96146;
718;9,25075;48,96216;
719;9,25044;48,96263;
720;9,25022;48,96306;
721;9,24969;48,96387;
722;9,24941;48,96437;
723;9,24937;48,9645;
724;9,24922;48,96528;
725;9,24903;48,96566;
726;9,24876;48,96592;
727;9,24833;48,96626;
728;9,24516;48,96797;
729;9,24436;48,96852;
730;9,24409;48,96874;
731;9,24395;48,96883;
732;9,24392;48,96886;
733;9,24264;48,96977;
734;9,24225;48,97001;
735;9,23912;48,97162;
736;9,23639;48,97284;
737;9,23544;48,97352;
738;9,23522;48,97378;
739;9,23515;48,97394;
740;9,23514;48,97425;
741;9,23523;48,97501;
742;9,23517;48,97503;
743;9,23512;48,97508;
744;9,23508;48,97515;
745;9,235;48,97535;
746;9,23414;48,97621;
747;9,23376;48,97673;
748;9,23351;48,97716;
749;9,23317;48,97761;
750;9,23287;48,97784;
751;9,23243;48,97808;
752;9,23182;48,9785;
753;9,23148;48,9789;
754;9,23141;48,97902;
755;9,23138;48,97916;
756;9,23128;48,97922;
757;9,23109;48,97938;
758;9,23069;48,97982;
759;9,2305;48,98014;
760;9,23039;48,98042;
761;9,23031;48,98096;
762;9,23029;48,98135;
763;9,23044;48,98276;
764;9,22958;48,98277;
765;9,22608;48,98301;
766;9,22557;48,98752;
767;9,22559;48,98793;
768;9,2255;48,98835;
769;9,22547;48,98883;
770;9,2255;48,98895;
771;9,22546;48,98902;
772;9,22548;48,98929;
773;9,22546;48,98954;
774;9,22541;48,98966;
775;9,22531;48,98981;
776;9,22554;48,98996;
777;9,22567;48,99002;
778;9,22581;48,99006;
779;9,22703;48,99021;
780;9,22627;48,99143;
781;9,22611;48,99177;
782;9,22602;48,99208;
783;9,2257;48,99371;
784;9,22562;48,99438;
785;9,22559;48,99448;
786;9,22522;48,99495;
787;9,22517;48,99499;
788;9,22508;48,9951;
789;9,22477;48,9954;
790;9,22453;48,99558;
791;9,22337;48,99617;
792;9,22307;48,99637;
793;9,22285;48,99658;
794;9,22276;48,99671;
795;9,22271;48,99682;
796;9,22146;48,99886;
797;9,21976;49,00123;
798;9,21977;49,00144;
799;9,21988;49,00165;
800;9,22018;49,00201;
801;9,22042;49,00225;
802;9,22044;49,00229;
803;9,22045;49,00233;
804;9,22043;49,00239;
805;9,21977;49,00216;
806;9,21967;49,00223;
807;9,21962;49,00225;
808;9,21871;49,00242;
809;9,21829;49,00245;
810;9,2179;49,00245;
811;9,21755;49,00248;
812;9,21669;49,00275;
813;9,21598;49,00303;
814;9,21591;49,00318;
815;9,21584;49,00327;
816;9,21582;49,00331;
817;9,21565;49,00345;
818;9,21388;49,00423;
819;9,21325;49,00462;
820;9,21276;49,00488;
821;9,21281;49,00497;
822;9,21178;49,00558;
823;9,21015;49,00633;
824;9,20836;49,00696;
825;9,20755;49,0073;
826;9,20655;49,00795;
827;9,20608;49,00832;
828;9,20432;49,01005;
829;9,20422;49,0101;
830;9,20409;49,01022;
831;9,20397;49,01024;
832;9,2039;49,01027;
833;9,20384;49,01033;
834;9,20384;49,01035;
835;9,20383;49,01036;
836;9,20383;49,01038;
837;9,20384;49,0104;
838;9,20328;49,01072;
839;9,20256;49,01122;
840;9,20249;49,0113;
841;9,20233;49,01141;
842;9,2014;49,01194;
843;9,19843;49,01304;
844;9,19832;49,01305;
845;9,19798;49,01317;
846;9,19791;49,01315;
847;9,19776;49,01316;
848;9,19766;49,0132;
849;9,1976;49,01327;
850;9,19759;49,01331;
851;9,19759;49,01334;
852;9,19761;49,01337;
853;9,1969;49,01387;
854;9,19691;49,01391;
855;9,19206;49,01699;
856;9,19123;49,01756;
857;9,1894;49,01902;
858;9,18713;49,02103;
859;9,18617;49,02202;
860;9,18556;49,0229;
861;9,18515;49,02382;
862;9,18519;49,0239;
863;9,18495;49,02456;
864;9,1848;49,02529;
865;9,18466;49,02625;
866;9,18458;49,02635;
867;9,18456;49,02641;
868;9,18452;49,02666;
869;9,18421;49,0275;
870;9,18357;49,02863;
871;9,18318;49,02917;
872;9,18236;49,03002;
873;9,18161;49,03066;
874;9,18064;49,03131;
875;9,17998;49,03168;
876;9,17832;49,03244;
877;9,17667;49,03304;
878;9,17444;49,03367;
879;9,17358;49,03382;
880;9,17071;49,034;
881;9,16954;49,03413;
882;9,16809;49,03446;
883;9,16614;49,03511;
884;9,16528;49,03532;
885;9,16442;49,03542;
886;9,16399;49,03544;
887;9,16323;49,0354;
888;9,16275;49,03534;
889;9,1619;49,03515;
890;9,16149;49,03503;
891;9,16063;49,03472;
892;9,1596;49,03426;
893;9,1587;49,03395;
894;9,15759;49,0337;
895;9,15707;49,03362;
896;9,15696;49,03364;
897;9,1559;49,03357;
898;9,15547;49,03358;
899;9,14973;49,03409;
900;9,14924;49,03408;
901;9,14929;49,03514;
902;9,14924;49,03572;
903;9,1491;49,03665;
904;9,14864;49,03851;
905;9,14845;49,03907;
906;9,14843;49,0391;
907;9,14833;49,03945;
908;9,1479;49,03967;
909;9,14806;49,03977;
910;9,1481;49,03983;
911;9,14811;49,03987;
912;9,14812;49,04005;
913;9,14808;49,04022;
914;9,14795;49,0406;
915;9,14789;49,04088;
916;9,14793;49,04137;
917;9,14798;49,04153;
918;9,14752;49,04213;
919;9,14681;49,04263;
920;9,14633;49,04336;
921;9,14574;49,04372;
922;9,14534;49,04406;
923;9,14507;49,04408;
924;9,14504;49,0442;
925;9,14441;49,04497;
926;9,14434;49,0451;
927;9,14428;49,04526;
928;9,14403;49,04534;
929;9,14325;49,04579;
930;9,1428;49,04613;
931;9,14245;49,04631;
932;9,1423;49,04636;
933;9,13979;49,0469;
934;9,13928;49,04713;
935;9,13898;49,04733;
